region,street,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,nettPrice
CCR,SHENTON WAY,211,41-45,1,0516,3,3406500,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,77,11-15,1,0618,3,1440000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,102,36-40,1,1017,3,1710000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,50,16-20,1,0617,3,1006800,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,50,06-10,1,0516,3,1080000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,54,36-40,1,0118,3,1162000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,106,26-30,1,0218,3,1802780,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,84,31-35,1,0918,3,1580000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,103,11-15,1,1017,3,1710000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,100,11-15,1,0118,3,1680000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,103,11-15,1,0617,3,1720000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,101,11-15,1,1117,3,1690000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,112,31-35,1,0417,3,1900000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,111,11-15,1,0516,3,1830000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,49,06-10,1,0318,3,1138888,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,50,21-25,1,0218,3,1130000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,149,36-40,1,1216,3,2502000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,101,11-15,1,0418,3,1750000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,102,26-30,1,0218,3,1800000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,57,26-30,1,0218,3,1234000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,54,16-20,1,0816,3,1080000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,50,26-30,1,0518,3,1168000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,103,16-20,1,0218,3,1800000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,147,21-25,1,0518,3,2550000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,54,31-35,1,1018,3,1200000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,102,36-40,1,0318,3,1850000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,106,31-35,1,0717,3,1880000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,79,26-30,1,1218,3,1445000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,106,26-30,1,0418,3,1805000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,149,31-35,1,1119,3,2500000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,54,11-15,1,1017,3,1150000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,105,36-40,1,1017,3,1760000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,76,11-15,1,0817,3,1267900,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,54,31-35,1,0220,3,1080000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,54,06-10,1,0317,3,950000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,84,06-10,1,0818,3,1420000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,57,21-25,1,0420,3,1185000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,54,26-30,1,0817,3,1100000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,75,06-10,1,0120,3,1285000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,102,21-25,1,0919,3,1880000,Apartment,01,Strata,99 yrs lease commencing from 2005,
